given_name,created_date,last_modified_date,family_name,credit_name,other_names,orcid_identifier_path,biography,researcher_urls,emails,keywords,external_ids,organization_name,organization_address_city,organization_address_region,organization_address_country,organization_disambiguated_organization_identifier,organization_disambiguation_source,department_name,role_title,url_value,display_index,visibility,created_date_value,start_date_year_value,start_date_month_value,start_date_day_value,end_date_year_value,end_date_month_value,end_date_day_value
Theodore,2017-02-12,2017-02-12,Theofrastous,NA,,0000-0002-7693-784X,"Ted Theofrastous has extensive experience in the field of high technology development and commercialization, both as a business architect/manager and as a legal professional. Prior to founding his corporate legal practice and ThetaSquared, a strategic technology commercialization firm, Ted served as managing director and fund counsel for a small family venture fund, where he created and managed a portfolio of new and existing technology startup investments. Before the fund, Ted managed a diverse IP portfolio and launched startup companies for the Cleveland Clinic Foundation designed to commercialize products based on CCF intellectual property. Ted’s roles related to the tech startups he works with typically include business structuring and operational planning, developing an intellectual property strategy, negotiating financial investment and playing an active role as a manager and/or director.
Before joining CCF, Ted practiced in the Cleveland and London offices of the law firm of Squire, Sanders & Dempsey L.L.P., where his primary practice focused on the nexus of investment capital and technology.  At Squire Sanders and CCF, he handled matters ranging from high tech start-up ventures to multi-billion dollar domestic and off-shore private equity fund offerings.

Ted’s business background consists of over twenty years’ working as a  technologist, executive and board member to design and implement new and re-engineered products and business systems.  

Ted also serves as Managing Director of the Fusion Program at Case Western Reserve University and Managing Attorney for the Case Western Reserve School of Law's IP Venture Clinic and teaches courses in Technology Commercialization & Venture Law at the School of Law.  He also serves as Chief Commercialization Officer and General Counsel for the Tech Belt Energy Innovation Center.  He has authored a number of peer-reviewed articles on a range of technology and legal topics and is a frequent speaker in the field of technology commercialization, regulation and finance.",,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Law,Distinguished Practitioner in Residence,NA,0,public,2017-06-26,2013,01,01,NA,NA,NA
Jing,2017-09-15,2017-09-15,Li,NA,,0000-0003-1160-6959,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,NA,NA,NA,1,public,2019-08-13,NA,NA,NA,NA,NA,NA
GURKAN,2016-04-15,2016-04-15,BEBEK,NA,,0000-0003-3081-3371,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Nutrition,Assistant Professor,NA,0,public,2017-05-17,2016,01,01,NA,NA,NA
Dennis,2016-04-15,2016-04-15,Gruszka,NA,,0000-0002-5169-5100,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Dermatology ,NA,NA,0,public,2018-03-22,2017,NA,NA,NA,NA,NA
Marilyn,2016-04-15,2016-04-15,Mobley,NA,,0000-0002-5579-4640,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,"Office for Inclusion, Diversity & Equal Opportunity",Vice President,NA,0,public,2014-06-10,2009,01,05,NA,NA,NA
Patrick,2016-04-15,2016-04-15,Feeley,NA,,0000-0002-2321-2087,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,NA,NA,NA,0,public,2014-08-26,NA,NA,NA,NA,NA,NA
Xiaolin,2019-09-16,2019-09-16,Li,NA,,0000-0002-4527-3139,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,NA,NA,NA,1,public,2019-09-16,NA,NA,NA,NA,NA,NA
li,2017-03-22,2017-03-22,li,NA,,0000-0001-9089-5810,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Family Medicine,Professor,NA,0,public,2017-03-22,NA,NA,NA,NA,NA,NA
Matthew,2019-10-14,2019-10-14,Kucmanic,NA,,0000-0003-1574-2261,NA,,,,,Case Western Reserve University,Cleveland,Ohio,US,NA,NA,Population and Quantitative Health Sciences,Public Health Specialist,https://case.edu/,1,public,2019-10-14,2017,09,13,NA,NA,NA
Shirley M.,2016-04-15,2016-04-15,Moore,NA,,0000-0003-2712-6896,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,School of Nursing,Professor Emerita,NA,1,public,2019-10-17,NA,NA,NA,NA,NA,NA
